,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gross Domestic Product, Domestic Currency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nominal, Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3
,Brazil,"1,241,621.76","1,322,587.42","1,354,133.22","1,413,276.59","1,385,945.43","1,422,288.32","1,462,126.27","1,508,592.98","1,456,836.78","1,480,130.86","1,508,219.71","1,550,599.65","1,499,483.08","1,558,285.59","1,577,224.26","1,634,335.07","1,589,214.39","1,633,651.30","1,647,680.12","1,712,773.19","1,657,833.65","1,704,702.31","1,736,935.00","1,789,705.13","1,725,680.60","1,795,805.84","1,842,110.27",...,...,...,...
,Brunei Darussalam,"6,067.50","5,626.40","5,347.10","5,597.70","5,737.20","5,479.20","5,209.60","5,245.60","4,655.60","4,526.30","4,321.90","4,274.20","3,940.70","4,029.40","3,763.60","4,014.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Bulgaria,"17,255.87","19,923.84","21,984.87","22,790.27","16,878.15","20,148.15","23,287.84","23,570.79","18,245.98","22,119.47","24,072.78","24,924.12","19,631.92","22,937.08","25,830.10","26,731.49","20,930.99","24,904.61","27,902.90","28,606.58","22,268.76","26,660.96","30,441.57","30,372.08","25,127.82","29,687.78","31,680.67","33,275.99","25,993.09","27,774.03","31,675.65"
,Cabo Verde,"36,712.01","39,291.03","38,368.61","39,351.52","38,213.89","38,932.03","37,291.44","39,998.39","38,969.38","39,248.31","37,302.83","41,004.55","40,432.22","40,103.83","37,960.79","42,745.26",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Canada,"443,125.00","460,401.00","500,963.00","497,758.00","467,345.00","488,985.00","524,490.00","514,078.00","472,379.00","487,051.00","521,592.00","509,419.00","475,252.00","490,410.00","530,194.00","529,679.00","499,356.00","524,610.00","559,684.00","557,457.00","521,971.00","545,995.00","585,742.00","570,148.00","536,870.00","568,190.00","601,987.00","596,831.00","544,563.00",...,...
,Chile,"33,213,415.70","33,990,993.10","33,433,372.20","37,238,434.80","36,077,488.00","36,627,476.80","35,772,848.20","40,121,640.90","39,179,707.80","39,535,450.00","38,263,478.30","42,574,712.20","41,953,610.80","41,447,910.40","40,805,268.50","45,330,598.10","43,602,201.30","44,040,884.60","43,782,195.80","48,330,844.20","47,222,449.00","47,526,133.80","45,751,315.70","50,766,053.50","49,022,753.20","49,487,887.10","48,370,573.60","51,559,493.00","51,606,540.80","46,432,454.70","47,339,132.40"
,"China, P.R.: Hong Kong","509,631.00","492,375.00","551,059.00","585,240.00","535,907.00","526,194.00","580,793.00","617,111.00","572,160.00","565,750.00","614,251.00","646,119.00","590,556.00","585,135.00","636,333.00","678,414.00","631,418.00","628,277.00","679,352.00","720,337.00","684,538.00","673,764.00","723,240.00","753,619.00","707,866.00","694,280.00","719,326.00","744,207.00","661,590.00","637,851.00",...
,"China, P.R.: Macao","94,508.00","97,063.00","101,895.00","118,399.00","115,196.00","112,519.00","106,976.00","107,379.00","94,215.00","88,973.00","86,994.00","92,032.00","85,515.00","84,180.00","91,455.00","101,418.00","96,004.00","96,673.00","101,438.00","113,214.00","108,939.00","107,048.00","108,143.00","120,536.00","108,184.00","107,123.00","105,766.00",...,...,...,...
,"China, P.R.: Mainland","12,944,960.00","14,351,870.00","15,222,270.00","16,777,230.00","14,027,020.00","15,592,230.00","16,489,780.00","18,019,030.00","15,059,380.00","16,787,450.00","17,580,380.00","19,172,080.00","16,096,730.00","17,987,870.00","18,933,760.00","20,987,720.00","17,940,340.00","19,917,780.00","20,982,410.00","23,234,900.00","19,792,000.00","21,929,540.00","22,949,550.00","25,359,860.00","21,343,280.00","23,750,030.00","24,686,510.00",...,...,...,...
,Colombia,"164,587,913.67","173,151,240.80","181,903,465.90","194,450,379.63","180,412,518.42","183,072,373.18","193,080,812.97","206,337,295.43","188,325,418.12","190,719,325.67","206,431,097.11","219,216,159.09","202,084,918.27","206,715,259.56","218,354,642.93","236,627,179.24","216,202,769.14","219,615,891.57","233,794,403.33","250,857,935.96","230,416,169.01","236,022,230.73","251,232,226.90","268,260,373.36","245,414,429.81","255,020,996.64","270,632,580.56","290,661,524.53","257,941,438.40","215,000,202.34",...
,Costa Rica,"6,191,199.70","6,059,375.20","6,066,973.90","6,543,394.70","6,718,056.40","6,623,021.30","6,656,816.40","7,228,989.30","7,328,059.10","7,137,588.00","7,156,107.60","7,659,618.60","7,769,115.40","7,589,957.70","7,565,062.40","8,212,075.00","8,321,510.70","8,099,305.30","8,085,965.60","8,682,439.00","8,803,904.50","8,577,467.40","8,490,753.60","9,065,810.30","9,224,505.70","8,826,080.10","8,848,484.80","9,396,549.10","9,289,282.00","7,873,102.10",...
,"Croatia, Rep. of","75,514.60","84,471.09","90,572.05","81,432.45","74,136.31","83,875.16","91,219.40","82,091.02","75,345.00","85,607.70","94,601.96","84,107.97","77,571.60","87,966.93","98,057.22","87,601.15","80,299.60","92,014.33","103,579.44","91,607.66","83,865.76","97,375.04","108,765.90","95,369.88","88,514.99","101,299.92","113,209.64","99,312.22","90,392.55","85,192.77","101,390.16"
,Cyprus,"4,314.20","4,646.70","4,580.40","4,453.70","4,181.20","4,412.60","4,485.60","4,350.80","4,209.40","4,509.20","4,583.90","4,581.30","4,405.60","4,732.50","4,875.40","4,915.80","4,715.10","5,049.80","5,194.60","5,160.30","5,037.20","5,525.90","5,497.30","5,372.20","5,230.40","5,686.40","5,768.70","5,601.60","5,324.20","4,856.20","5,458.90"
,Czech Rep.,"955,889.00","1,034,830.00","1,052,330.00","1,099,762.00","997,951.00","1,088,654.00","1,116,501.00","1,142,660.00","1,066,579.00","1,163,326.00","1,184,154.00","1,211,319.00","1,114,961.00","1,215,075.00","1,216,961.00","1,249,876.00","1,168,642.00","1,285,296.00","1,305,042.00","1,351,763.00","1,247,727.00","1,357,697.00","1,373,688.00","1,429,654.00","1,327,947.00","1,440,896.00","1,470,239.00","1,509,586.00","1,353,528.00","1,340,827.00","1,451,022.00"
,Denmark,"464,259.20","487,524.70","482,170.40","495,722.70","479,593.60","495,208.50","493,651.70","512,711.10","495,858.10","513,524.80","505,857.90","521,115.40","504,761.20","534,094.70","521,505.80","547,446.50","530,588.20","558,361.00","541,099.10","562,911.70","536,517.70","570,371.80","560,955.10","585,713.50","560,149.80","589,524.50","582,159.80","603,167.90","574,232.30","553,642.80","562,847.70"
,Dominican Rep.,"623,151.16","643,436.91","647,218.94","705,962.68","689,474.43","712,913.08","707,012.81","768,127.49","744,416.59","765,465.72","759,591.19","830,177.70","801,373.49","832,951.96","818,031.01","881,062.81","861,277.68","897,091.20","884,417.31","970,360.95",...,...,...,...,...,...,...,...,...,...,...
,Ecuador,"23,019.79","23,441.32","24,238.58","24,429.97","24,831.49","25,543.28","25,942.91","25,408.65","25,052.74","25,086.20","24,779.74","24,371.71","24,913.57","24,926.19","24,910.74","25,187.20","26,000.26","25,993.55","25,960.91","26,341.14","26,510.61","26,761.83","27,078.40","27,211.17","26,757.82","26,937.63","26,922.52","26,817.70","26,002.31","23,549.79",...
,"Egypt, Arab Rep. of","423,600.00","446,200.00","518,000.00","499,300.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,El Salvador,"5,205.76","5,549.60","5,431.32","5,804.29","5,431.12","5,703.06","5,592.72","5,866.58","5,613.83","5,867.32","5,831.96","6,125.13","5,690.32","6,177.99","5,966.10","6,357.03","5,938.98","6,274.42","6,152.20","6,613.60","6,203.12","6,571.08","6,467.90","6,875.30","6,454.95","6,766.98","6,711.04","7,089.67",...,...,...
,"Estonia, Rep. of","4,451.08","4,831.76","4,868.94","4,881.61","4,660.47","5,107.68","5,098.24","5,313.60","4,767.02","5,280.91","5,295.39","5,438.90","5,117.79","5,492.43","5,513.97","5,807.29","5,445.58","6,055.27","5,978.42","6,378.48","5,902.45","6,507.13","6,540.60","6,987.43","6,510.86","7,040.57","7,105.13","7,455.82","6,536.87","6,451.59","6,966.34"
,Euro Area,"2,399,146.45","2,483,037.91","2,481,840.92","2,569,293.43","2,464,086.49","2,530,145.80","2,537,524.98","2,635,443.99","2,537,821.97","2,618,155.05","2,628,468.24","2,735,407.53","2,612,738.19","2,706,795.12","2,691,565.75","2,804,525.57","2,706,841.30","2,789,668.73","2,796,391.80","2,923,803.72","2,805,260.42","2,890,861.70","2,879,503.84","3,012,037.96","2,891,735.45","2,971,761.08","2,978,160.80","3,093,863.37","2,859,301.70","2,589,646.70","2,874,772.13"
,Finland,"48,547.00","51,645.00","50,814.00","53,315.00","49,332.00","52,112.00","51,458.00","53,995.00","50,015.00","53,438.00","52,437.00","55,495.00","51,527.00","54,878.00","54,128.00","56,985.00","53,732.00","56,865.00","55,919.00","59,417.00","55,783.00","58,896.00","57,846.00","61,139.00","57,243.00","60,914.00","59,873.00","62,526.00","57,552.00","58,474.00","58,992.00"
,France,"521,506.00","531,010.00","520,471.00","544,202.00","531,249.00","536,560.00","528,508.00","553,448.00","543,050.00","549,149.00","540,348.00","565,885.00","554,013.00","561,664.00","545,506.00","572,946.00","565,860.00","573,594.00","563,607.00","594,183.00","582,580.00","587,982.00","579,295.00","610,829.00","597,720.00","606,543.00","597,695.00","623,752.00","579,098.00","513,877.00","578,096.00"
,Georgia,"5,914.46","6,900.92","7,510.71","8,266.95","6,561.22","7,545.65","8,206.35","8,810.88","7,048.02","8,430.94","8,998.90","9,457.15","7,581.86","8,787.32","9,464.09","10,002.75","8,662.42","9,868.13","10,940.55","11,290.57","9,551.45","10,935.75","11,850.94","12,261.20","10,199.90","12,024.93","13,446.52","14,330.82","11,063.76","11,209.98",...
,Germany,"682,360.00","692,930.00","714,670.00","721,390.00","716,700.00","717,360.00","740,720.00","752,650.00","737,210.00","741,980.00","765,670.00","781,320.00","762,950.00","779,080.00","788,980.00","803,730.00","796,940.00","799,040.00","821,890.00","841,990.00","821,150.00","831,070.00","839,800.00","864,390.00","845,820.00","846,940.00","870,150.00","886,140.00","851,810.00","768,770.00","842,970.00"
,Greece,"42,277.42","45,866.21","47,731.89","44,778.75","40,831.99","44,595.25","48,115.28","45,113.96","40,716.30","44,697.35","46,710.01","45,134.69","40,225.58","44,678.67","47,031.97","44,551.74","40,813.03","45,424.47","48,497.47","45,482.63","41,925.58","46,287.19","50,073.84","46,427.00","42,592.04","47,787.04","50,924.64","46,152.77","41,423.86","39,609.64",...
,Guatemala,"99,738.42","102,229.08","105,716.35","115,413.90","106,442.21","109,515.49","113,872.74","124,222.31","116,362.03","117,106.43","121,994.44","132,665.31","123,855.78","125,323.02","129,839.71","142,818.36","132,651.90","132,110.57","137,550.49","153,335.87","139,141.24","140,586.75","146,712.56",...,...,...,...,...,...,...,...
,Hungary,"6,672,025.00","7,512,715.00","7,816,910.00","8,289,270.00","7,222,366.00","8,090,368.00","8,480,345.00","8,949,099.00","7,665,512.00","8,549,662.00","8,954,158.00","9,767,981.00","7,928,661.00","9,028,303.00","9,279,148.00","9,931,341.00","8,536,710.00","9,687,931.00","10,064,497.00","10,944,292.00","9,381,532.00","10,662,950.00","11,184,587.00","12,117,972.00","10,367,465.00","11,749,724.00","12,217,394.00","13,179,329.00","10,984,886.00","10,831,111.00","12,176,396.00"
,Iceland,"476,002.88","486,182.39","508,661.96","499,298.50","470,943.35","504,708.63","561,276.86","549,430.77","541,080.58","580,058.80","604,416.25","585,292.15","566,563.94","618,723.53","676,157.84","650,609.52","598,091.08","649,831.26","712,182.20","682,318.23","657,453.53","700,663.16","747,164.68","730,608.24","678,975.85","756,382.44","792,160.16","791,858.33","682,947.17","694,482.02","730,099.13"
,India,"25,620,226.30","27,695,570.30","28,893,893.74","30,517,958.44","29,104,480.00","30,565,790.00","31,753,319.06","32,996,279.75","32,416,910.00","33,540,934.12","34,749,284.56","36,933,237.81","35,984,915.63","37,153,459.96","38,651,620.00","41,130,150.00","40,074,534.65","41,721,220.00","43,261,045.61","45,926,240.82","45,512,235.58","46,478,309.64","48,174,125.09","49,547,698.66","49,182,284.42","49,206,939.28","51,732,336.15","53,276,928.93","38,081,930.00",...,...
,Indonesia,"2,235,288,500.00","2,342,589,500.00","2,491,158,500.00","2,477,097,500.00","2,506,300,200.00","2,618,947,300.00","2,746,762,400.00","2,697,695,400.00","2,728,180,700.00","2,867,948,400.00","2,990,645,000.00","2,939,558,700.00","2,929,269,000.00","3,073,536,700.00","3,205,019,000.00","3,193,903,800.00","3,228,172,200.00","3,366,787,300.00","3,504,138,500.00","3,490,727,700.00","3,511,408,700.00","3,685,610,800.00","3,842,159,900.00","3,799,132,100.00","3,783,859,300.00","3,963,861,700.00","4,067,378,000.00","4,018,844,400.00","3,922,613,800.00",...,...
,"Iran, Islamic Rep. of","2,244,347,923.11","2,704,578,508.39","2,507,928,571.20","2,477,112,814.61","2,765,334,641.04","3,238,910,945.08","2,874,873,587.59","2,638,368,450.35","2,772,917,948.93","3,174,276,132.71","2,732,298,290.71","2,734,674,619.54","2,919,933,905.63","3,570,394,902.07","3,234,905,797.10","3,426,024,459.91",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Ireland,"43,301.61","44,368.38","46,864.12","45,082.20","46,486.98","48,298.83","50,599.58","49,762.75","63,269.95","62,956.14","67,917.00","68,710.24","64,559.71","63,418.94","68,742.56","74,088.26","70,026.92","70,462.59","78,253.17","81,644.18","79,650.17","78,003.66","85,041.47","84,290.77","84,928.89","84,930.93","93,224.99","92,966.36","91,882.42","82,651.80","99,298.29"
,Israel,"251,830.34","266,100.59","267,614.67","271,092.88","269,499.50","274,002.28","276,285.95","287,789.21","285,714.99","290,207.94","290,092.68","299,308.03","298,226.99","301,082.91","311,135.83","314,505.31","310,000.09","316,063.92","318,382.35","327,108.91","323,017.68","328,739.88","333,829.40","345,030.72","344,734.93","344,368.98","355,484.58",...,...,...,...
,Italy,"380,087.90","402,771.20","402,442.00","427,449.10","386,498.90","405,581.90","404,925.30","430,399.50","389,770.90","412,552.40","413,474.70","439,557.00","401,963.90","423,978.70","421,948.10","447,896.00","411,556.00","432,198.20","430,695.00","462,143.70","422,807.80","442,617.70","437,265.60","468,372.00","427,845.40","444,366.50","443,497.60","474,037.50","407,211.40","370,119.40","424,154.20"
,Jamaica,"348,473.64","347,074.28","359,196.45","376,353.36","379,621.06","374,587.21","380,649.36","406,861.21","409,742.31","408,455.98","407,893.70","441,101.45","434,667.79","433,510.94","432,459.40","454,089.19",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Japan,"123,290,400.00","123,962,300.00","124,080,000.00","131,842,800.00","127,370,100.00","126,615,900.00","125,507,400.00","134,382,600.00","131,729,200.00","131,433,800.00","130,273,600.00","137,883,200.00","133,195,400.00","132,294,800.00","130,701,600.00","139,345,400.00","134,509,000.00","134,461,100.00","134,034,100.00","142,893,200.00","136,159,600.00","135,979,200.00","133,195,000.00","141,517,900.00","137,429,500.00","137,778,300.00","136,296,300.00","142,255,900.00","136,169,200.00","125,795,900.00",...
,"Kazakhstan, Rep. of","6,966,935.00","7,533,057.20","9,268,001.20","12,231,031.70","7,933,827.50","8,549,124.70","10,558,035.10","12,634,845.60","8,267,517.70","8,536,900.40","10,632,118.60","13,447,596.90","9,309,090.90","10,047,966.00","11,998,069.20","15,616,023.90","10,431,358.00","11,114,911.70","13,595,795.50",...,...,...,...,...,...,...,...,...,...,...,...
,"Korea, Rep. of","355,384,700.00","373,096,500.00","379,887,200.00","392,450,800.00","373,559,700.00","388,566,900.00","393,425,400.00","407,377,000.00","394,261,800.00","411,336,500.00","420,849,600.00","431,572,600.00","413,321,800.00","434,542,900.00","439,401,900.00","453,512,900.00","433,537,200.00","453,891,300.00","473,660,900.00","474,608,700.00","449,511,100.00","471,629,900.00","484,491,500.00","487,864,600.00","454,699,800.00","477,978,900.00","486,374,200.00","494,910,700.00",...,...,...
,"Kosovo, Rep. of","1,069.22","1,395.66","1,466.27","1,395.40","1,167.10","1,403.65","1,548.23","1,448.28","1,201.03","1,459.64","1,616.81","1,529.52","1,258.96","1,531.67","1,695.69","1,584.36","1,296.27","1,630.29","1,809.84","1,677.14","1,347.35","1,719.25","1,869.71","1,789.78","1,421.32","1,823.96","1,967.39","1,866.95","1,437.69","1,635.72",...
,Kyrgyz Rep.,"62,957.70","76,846.90","103,201.40","112,288.80","69,449.10","84,316.60","116,879.10","130,049.20","80,709.70","92,915.40","120,251.00","129,759.40","78,799.00","97,238.10","134,046.10","142,595.80","86,143.10",...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Latvia,"5,063.18","5,687.35","5,992.19","6,180.99","5,292.74","5,868.84","6,153.26","6,299.07","5,469.63","6,150.80","6,450.56","6,489.89","5,653.88","6,333.62","6,571.97","6,800.81","5,953.49","6,737.37","7,067.79","7,203.61","6,293.85","7,310.33","7,675.43","7,862.93","6,735.07","7,647.71","8,047.21","8,033.34","6,734.12","6,894.28","7,801.02"
,Lithuania,"7,715.56","8,784.26","9,532.34","9,007.38","8,187.20","9,209.08","9,899.79","9,285.24","8,212.00","9,366.88","10,131.13","9,635.69","8,564.72","9,742.84","10,473.36","10,108.95","9,313.93","10,490.98","11,455.39","11,016.00","10,009.24","11,288.81","12,146.69","12,046.32","10,809.31","12,109.15","13,060.87","12,818.04","11,218.26","11,572.14","13,186.93"
,Luxembourg,"10,935.20","11,582.02","11,492.71","12,489.56","12,048.12","12,124.21","12,307.06","13,344.98","12,713.06","13,005.51","12,455.11","13,892.11","13,170.91","13,532.80","13,462.29","14,701.22","13,672.63","14,068.37","13,822.29","15,250.90","14,377.40","14,845.99","14,829.89","15,999.78","15,091.31","15,824.41","15,628.87","16,971.74","15,641.92","15,212.39",...
,Malaysia,"241,834.00","245,051.00","258,245.00","273,484.00","265,983.00","272,369.00","278,762.00","289,328.00","277,698.00","283,722.00","292,722.00","304,371.00","290,946.00","298,998.00","312,163.00","328,914.00","324,577.00","329,787.00","343,008.00","356,009.00","343,151.00","348,979.00","363,085.00","374,627.00",...,...,...,...,...,...,...
,Malta,"1,841.26","1,987.83","2,114.69","2,000.57","2,035.62","2,163.86","2,301.92","2,249.69","2,325.56","2,490.11","2,622.73","2,558.31","2,481.33","2,627.40","2,778.48","2,684.25","2,752.73","2,910.37","3,065.98","2,945.66","2,879.85","3,112.30","3,330.54","3,185.60","3,134.42","3,354.87","3,533.93","3,439.19","3,211.41","2,857.50","3,221.35"
,Mauritius,"86,228.00","90,540.00","92,605.00","103,024.00","90,515.00","96,802.00","97,155.00","107,590.00","95,623.00","100,197.00","102,148.00","111,924.00","101,639.00","106,372.00","108,007.00","118,747.00","106,751.00","112,896.00","112,745.00","124,809.00","112,264.00","119,926.00","117,969.00","131,097.00","117,270.00","124,221.00","123,165.00","133,618.00","116,891.00","84,189.00",...
,Mexico,"3,942,055.00","4,049,589.30","4,050,895.10","4,234,647.70","4,192,552.10","4,356,929.70","4,365,238.30","4,569,585.50","4,444,960.00","4,625,437.10","4,672,511.30","4,829,201.10","4,743,188.50","4,996,164.20","5,040,718.20","5,348,986.50","5,331,244.20","5,452,593.30","5,431,331.60","5,718,998.40","5,666,917.20","5,910,993.40","5,847,669.40","6,097,667.20","6,023,123.20","6,128,287.30","6,068,063.50","6,223,540.30","6,122,646.40","5,011,515.60","5,775,725.50"
,"Moldova, Rep. of","23,518.12","28,351.57","35,832.90","31,830.28","25,632.58","31,383.37","40,774.62","35,691.07","29,177.61","34,115.62","42,949.06","39,511.35","32,330.65","37,571.47","47,568.56","43,343.89","35,132.54","40,701.45","54,233.51","48,813.39","37,908.30","44,693.63","58,217.29","51,689.33","41,214.96","49,758.51","64,410.44","54,967.17","43,685.33",...,...
,Mongolia,"3,508,102.40","5,077,543.40","5,281,732.40","5,306,864.30","4,222,086.50","5,970,325.30","6,366,832.30","5,667,810.20","4,643,453.60","6,041,806.60","6,463,642.60","6,001,482.80","4,738,100.20","6,221,958.20","6,290,160.80","6,692,647.20","5,831,456.60","7,240,074.50","7,317,453.00","7,506,540.10","6,758,521.90","8,408,131.40","8,293,359.50",...,...,...,...,...,...,...,...
,Montenegro,637.77,788.14,"1,101.90",834.67,663.64,800.42,"1,125.02",868.85,686.30,859.34,"1,189.22",919.65,729.50,920.47,"1,291.33","1,012.92",783.81,"1,008.27","1,416.29","1,090.72",848.71,"1,108.23","1,531.06","1,175.14",886.03,"1,151.55","1,630.57","1,239.75",913.12,900.50,...
,Morocco,"216,036.00","218,589.76","216,511.73","221,653.74","220,144.92","230,247.00","222,894.00","237,074.00","245,666.00","242,731.00","243,917.00","254,017.00","247,929.00","251,806.00","250,809.00","261,830.00","258,043.00","261,789.00","262,969.00","272,593.00",...,...,...,...,...,...,...,...,...,...,...
,"Netherlands, The","161,409.00","168,105.00","161,493.00","169,456.00","164,432.00","169,898.00","163,863.00","173,367.00","166,535.00","175,441.00","170,501.00","177,531.00","171,335.00","179,918.00","174,235.00","182,849.00","178,225.00","187,838.00","181,702.00","190,381.00","188,086.00","196,773.00","190,226.00","198,902.00","196,565.00","206,487.00","199,281.00","207,914.00","200,967.00","191,318.00","199,016.00"
,New Zealand,"55,526.00","55,040.00","54,922.00","62,551.00","60,206.00","59,123.00","57,479.00","63,739.00","61,901.00","61,891.00","60,447.00","66,627.00","65,584.00","65,156.00","63,862.00","71,400.00","70,066.00","69,371.00","68,806.00","77,034.00","73,995.00","73,270.00","71,560.00","79,039.00","76,867.00","76,139.00","74,962.00","83,399.00","79,633.00","70,282.00",...
,Nigeria,"18,522,185.10","20,149,674.20","20,703,824.60","21,634,280.80","20,381,903.54","21,957,446.05","23,232,819.39","24,564,815.67","21,242,543.07","23,080,911.17","24,627,752.28","26,226,529.16","22,435,464.29","23,737,297.49","26,871,010.76","29,531,645.49","26,228,851.52",...,...,...,...,...,...,...,...,...,...,...,...,...,...
